"Provincia","AL","BE","BG","BM","EL","GA","IB","IG","ND","Totale"
"agrigento","3","130425","6333","551","12","154710","285","45","6","292370"
"alessandria","8","132668","20336","4548","72","129165","1920","163","11","288891"
"ancona","2","109734","20062","48485","85","128600","1966","171","9","309114"
"aosta","1","84816","3185","396","66","124210","1175","54","1","213904"
"arezzo","7","102484","16850","13717","51","107577","1249","114","11","242060"
"ascoli piceno","1","56098","10922","10358","32","66982","696","48","1","145138"
"asti","1","68856","10777","1361","39","68705","703","46","2","150490"
"avellino","3","97082","20868","9003","32","143399","400","91","2","270880"
"bari","7","268858","45770","26903","139","374977","2338","316","27","719335"
"barletta","0","89463","9791","2692","21","119189","751","65","3","221975"
"belluno","3","60273","4801","706","33","69620","1005","81","0","136522"
"benevento","1","66630","12566","4817","17","100743","266","42","4","185086"
"bergamo","9","350226","42010","12640","370","276645","8998","414","19","691331"
"biella","3","69815","7639","700","22","50018","1052","58","3","129310"
"bologna","13","256945","70160","50701","427","229986","13913","552","17","622714"
"bolzano","14","181111","7627","3392","1024","300540","2473","365","9","496555"
"brescia","16","365840","64486","16139","561","354341","8149","586","23","810141"
"brindisi","1","101627","13076","5732","32","133859","407","98","16","254848"
"cagliari","0","146490","7140","117","119","123301","1596","97","13","278873"
"caltanissetta","0","73955","3984","1007","7","86163","177","20","4","165317"
"campobasso","3","51890","9429","5331","13","82643","367","33","0","149709"
"caserta","3","232125","52309","11766","94","279233","910","131","18","576589"
"catania","2","409490","33249","8342","108","370080","1528","164","30","822993"
"catanzaro","0","103551","7560","829","19","122560","537","90","8","235154"
"chieti","3","105154","18456","6127","68","131560","985","76","11","262440"
"como","9","256927","9978","1921","269","126530","6586","255","15","402490"
"cosenza","5","205066","14570","3182","56","266120","648","116","23","489786"
"cremona","5","102751","13238","3887","99","101721","2563","196","8","224468"
"crotone","0","43858","3289","339","10","57822","239","20","0","105577"
"cuneo","10","179148","28134","1392","179","207430","3249","232","16","419790"
"enna","0","46866","2379","197","3","56722","68","22","1","106258"
"fermo","0","41145","7609","17337","31","55103","460","54","0","121739"
"ferrara","4","89037","27850","17916","49","95072","2086","133","4","232151"
"firenze","16","321244","41404","21161","2385","383520","6946","369","25","777070"
"foggia","2","120050","16770","12157","22","196701","1069","97","6","346874"
"forlì","8","102415","30526","19044","97","107853","1864","159","3","261969"
"frosinone","2","145216","29854","5445","56","177852","936","106","43","359510"
"genova","9","234656","12597","3687","213","166586","4005","182","6","421941"
"gorizia","3","58073","1264","105","40","30883","718","23","1","91110"
"grosseto","4","66311","8281","2972","28","71328","551","71","3","149549"
"imperia","5","73409","2732","159","24","49347","963","29","0","126668"
"isernia","1","23669","3260","437","9","37585","100","14","1","65076"
"la spezia","0","63527","8688","3837","30","50970","754","64","4","127874"
"l'aquila","4","86205","14243","3198","36","109651","794","76","2","214209"
"latina","1","153054","27547","4883","100","188557","1818","127","4","376091"
"lecce","8","209620","36297","13941","76","256417","808","174","22","517363"
"lecco","2","123319","7560","1037","136","83456","2855","117","3","218485"
"livorno","4","101661","11216","5334","35","84936","1039","95","11","204331"
"lodi","3","65813","9954","1923","44","63154","1174","78","9","142152"
"lucca","1","130757","17576","11128","86","100070","1650","177","7","261452"
"macerata","3","72752","11695","34425","55","100045","967","142","3","220087"
"mantova","5","119852","20296","6696","113","125366","2375","169","6","274878"
"massa carrara","0","60459","9165","4329","27","47422","602","75","2","122081"
"matera","0","45542","4654","2175","17","74884","267","38","0","127577"
"messina","3","221717","13953","1631","65","182265","689","68","23","420414"
"milano","21","1067240","102414","16731","1619","596913","36397","1189","207","1822731"
"modena","3","197092","49923","25056","253","198792","5948","376","6","477449"
"monza brianza","5","330087","28123","4023","315","189577","9006","355","30","561521"
"napoli","13","904485","181163","39475","188","687862","2926","351","129","1816592"
"non definito","0","10019","230","70","0","2307","0","0","4002","16628"
"novara","7","124647","17217","2322","84","97005","2503","144","5","243934"
"nuoro","1","66679","2763","91","24","76242","429","24","0","146253"
"oristano","0","48676","2403","44","18","52922","191","13","0","104267"
"padova","10","262477","59228","20173","376","260314","7593","508","13","610692"
"palermo","5","393920","39518","4372","146","323826","2301","119","35","764242"
"parma","20","115149","26029","28145","145","122485","3131","276","2","295382"
"pavia","10","176893","20650","5123","94","147209","3403","137","10","353529"
"perugia","7","182103","31613","37787","157","232280","2677","272","15","486911"
"pesaro","4","94224","18163","25021","70","101570","1333","141","0","240526"
"pescara","3","88986","15586","6607","47","88360","1050","106","0","200745"
"piacenza","5","79552","16940","7490","55","81618","1837","138","2","187637"
"pisa","3","124432","21319","11091","54","120783","1589","166","4","279441"
"pistoia","1","90789","13517","6837","52","79367","909","127","2","191601"
"pordenone","6","103676","9330","2032","82","99238","2252","147","7","216770"
"potenza","1","96578","12585","5059","35","136537","355","88","4","251242"
"prato","2","81241","10600","3789","52","63033","1576","116","4","160413"
"ragusa","1","102828","6610","2190","49","110675","728","72","14","223167"
"ravenna","7","100823","30966","25544","105","111249","2266","201","1","271162"
"reggio calabria","4","171520","11450","1622","24","177185","981","56","13","362855"
"reggio emilia","13","138508","41276","23199","318","143461","3977","242","2","350996"
"rieti","0","47562","9213","1393","19","53190","307","31","1","111716"
"rimini","8","98090","25385","13769","93","79174","2031","115","4","218669"
"roma","19","1365166","217121","21833","2414","1093028","37842","1117","435","2738975"
"rovigo","0","56131","15950","16639","39","70522","1083","88","4","160456"
"salerno","4","276198","49301","20912","90","344969","1173","227","21","692895"
"sassari","3","167622","8375","218","71","145459","1014","62","13","322837"
"savona","0","87847","6318","1381","42","72381","1073","75","2","169119"
"siena","7","80717","9936","6507","42","91423","1177","102","9","189920"
"siracusa","1","125392","7769","1581","30","132910","904","38","10","268635"
"sondrio","1","64472","1570","197","67","48536","835","51","3","115732"
"sud sardegna","0","100470","5148","100","21","112305","379","19","6","218448"
"taranto","1","134984","18129","4907","34","183952","504","102","13","342626"
"teramo","0","83275","16550","11707","36","101944","897","81","2","214492"
"terni","4","67822","14797","6326","33","67523","806","72","2","157385"
"torino","27","730002","168835","22951","891","541855","14562","513","35","1479671"
"trapani","1","142454","9765","495","20","137825","484","44","7","291095"
"trento","7","212233","23329","7138","4582","420866","8127","322","10","676614"
"treviso","9","260169","39542","9731","382","279152","6701","455","11","596152"
"trieste","3","86334","1511","147","43","39738","1513","47","5","129341"
"udine","12","202664","9244","1252","184","152725","3349","201","6","369637"
"varese","7","370616","18818","3177","267","191332","10484","295","25","595021"
"venezia","4","213935","42742","10424","209","203330","4876","339","10","475869"
"verbano","2","58954","4126","516","24","42097","668","54","1","106442"
"vercelli","3","59331","8186","628","63","50281","944","54","4","119494"
"verona","10","247478","51265","32068","381","283175","6904","520","24","621825"
"vibo valentia","0","49840","3062","179","6","55668","144","29","2","108930"
"vicenza","7","253600","37965","11502","393","271446","8332","463","3","583711"
"viterbo","6","98631","14754","1534","37","115986","1049","81","2","232080"
