Provincia,M_Y15_24_occup,F_Y15_24_occup,M_Y15_24_tot,F_Y15_24_tot,M_Y25_49_occup,F_Y25_49_occup,M_Y25_49_tot,F_Y25_49_tot,M_Y50_64_occup,F_Y50_64_occup,M_Y50_64_tot,F_Y50_64_tot,M_Y_GE65_occup,F_Y_GE65_occup,M_Y_GE65_tot,F_Y_GE65_tot,Tot_occu,Tot_pop
verona,14265,9551,46497,43418,132091,105170,150697,147764,78016,60153,101175,102189,13422,5636,90230,116223,418304,798193
rovigo,2721,1651,9708,9065,30414,24027,35245,34279,21115,15849,28162,28776,3703,1661,26830,34510,101141,206575
siena,3206,1852,12258,11097,34208,29556,40197,40630,22229,19894,28387,30452,4174,2386,30340,39367,117505,232728
grosseto,2144,1193,9601,8782,25400,20243,32496,32026,17935,14536,24666,26524,4000,2220,26935,34418,87671,195448
perugia,7185,4323,30561,27972,82224,68381,100049,100639,51540,43919,68725,73624,9190,4945,71546,92205,271707,565321
ascoli piceno,2259,1226,10139,9062,25678,20458,31590,31332,17173,13617,22699,24473,3483,1755,23222,29551,85649,182068
benevento,2642,1386,15070,13689,30839,20824,43935,42898,20819,14509,29914,31130,3134,1597,27662,35209,95750,239507
cosenza,5219,2720,35480,32613,71932,48821,113005,112002,49015,32065,75071,79998,7574,3731,70508,85687,221077,604364
trapani,4008,1935,24864,22016,43051,26408,67277,65495,28195,17454,43951,46466,5425,2459,43505,54239,128935,367813
catania,9450,4723,61021,57030,111861,69172,176270,178707,70031,43718,109190,119117,10704,5175,94887,121919,324834,918141
novara,4825,2732,17655,15913,49223,39452,57503,55882,30428,24582,41251,42364,3804,1847,37608,50234,156893,318410
bergamo,19883,11894,59120,54743,161415,122990,179939,173199,93952,63996,124722,122258,11270,4454,105456,131945,489854,951382
brescia,22299,13202,65481,59843,183032,137540,205875,198610,105370,73585,138467,137524,14369,6207,120328,154449,555604,1080577
gorizia,1681,941,6454,5700,17646,12963,20930,19477,11848,9528,16300,15774,1393,790,15625,21369,56790,121629
pescara,2866,1560,15781,14425,37748,28691,49265,50116,25132,18347,34422,36805,3837,1989,32284,42754,120170,275852
chieti,3617,1725,18351,16799,47091,33602,59656,58846,30393,22114,40737,43605,5434,2741,42424,52669,146717,333087
avellino,3949,2074,22299,20631,48143,31083,67018,65724,32328,20765,46058,47471,4433,2349,40824,50970,145124,360995
bari,13846,7722,66871,63023,149636,98797,198915,199354,93174,54402,131414,140642,14084,5458,120827,149659,437119,1070705
lecce,7311,3907,41227,38022,86212,59844,122081,124002,53284,34710,80924,89863,8029,3243,82574,109054,256540,687747
milano,39933,23441,157814,143825,468918,392685,543932,532916,266692,224495,345231,362712,37564,19096,315143,430397,1472824,2831970
viterbo,2948,1666,14578,13176,38795,28238,50042,48851,24781,17573,34930,36093,4829,2360,33562,41864,121190,273096
napoli,31698,16864,189465,178733,332586,193599,502425,513666,202052,110620,305100,335878,28397,11905,241756,312398,927721,2579421
catanzaro,2771,1339,18396,17444,36805,24651,56272,56266,24610,16412,37581,40455,3771,1744,35111,43272,112103,304797
ragusa,3809,1896,18323,16507,37012,22582,54786,51679,21630,13765,31947,33146,3515,1765,28600,36196,105974,271184
sondrio,3133,2013,9280,8617,23403,18327,27633,26651,15045,11519,20830,21198,2038,961,18930,24164,76439,157303
cremona,5345,3188,17312,15600,49722,38819,56396,53930,30400,22621,40206,40017,4530,1693,38221,49282,156318,310964
trento,9149,5344,29415,27328,73491,62257,84553,83770,46706,39569,60293,60993,6756,3166,54062,68186,246438,468600
belluno,2965,1994,9610,8883,25882,22313,29389,28860,17781,15294,23399,24105,2428,1296,23631,30499,89953,178376
prato,3703,2432,12774,11660,35999,30863,41793,41850,20821,17135,26995,28461,3401,1640,25254,32724,115994,221511
livorno,2998,1901,14695,13543,39863,31527,49381,48950,27505,22714,37027,39539,4316,2700,39269,51040,133524,293444
l'aquila,2366,1197,13648,12481,36761,25771,48359,45314,24366,18038,33530,33986,3835,1932,32321,40484,114266,260123
messina,4852,2464,31045,28937,62998,43020,96623,98138,43001,30510,66616,72514,6552,3529,63514,81315,196926,538702
asti,2919,1733,10122,9238,26438,21379,31480,30686,17845,14272,24266,24417,3321,1613,24938,31486,89520,186633
savona,2775,1596,12020,11006,30491,24910,37386,37150,23526,19439,31785,33211,3626,2239,34141,45895,108602,242594
rimini,3783,2324,16147,14982,42553,35310,53122,54534,26908,21748,36853,39002,5183,3093,34197,44135,140902,292972
ancona,5278,2959,22601,20682,61073,50787,72442,71572,38069,32516,50051,53196,6483,3362,51067,67159,200527,408770
enna,1537,693,9168,8571,16247,9655,24847,24812,11459,6958,16943,18414,1711,867,16442,21267,49127,140464
cagliari,3013,1752,19202,17103,49439,40642,70880,69913,33050,27536,48498,52807,5073,2986,41739,55429,163491,375571
como,8322,5404,29609,27235,79517,62061,96713,93177,47965,36462,66438,67382,6921,2990,60394,77820,249642,518768
trieste,2359,1533,10180,9145,27563,23579,34289,33014,18778,17121,25889,27024,2474,1506,27758,39047,94913,206346
matera,1863,983,10724,9751,23003,15452,32117,30765,14951,10046,20776,22088,2585,1203,20098,24819,70086,171138
torino,25391,15230,104487,96391,286210,240397,341312,340805,180132,154794,242659,257567,23737,12551,248886,323013,938442,1955120
alessandria,4885,2835,18267,16654,50722,40560,61076,59654,36347,28749,49216,49881,5979,3008,50632,66167,173085,371547
mantova,6280,3590,19393,17566,58126,44009,66018,63029,35183,26455,45130,44988,6803,2638,42022,55582,183084,353728
pordenone,4342,2589,14927,13809,43174,34199,49418,47471,25957,21153,33954,34749,4051,1966,33187,42110,137431,269625
modena,9950,5685,35027,31621,100521,80982,114785,111815,59467,49783,76070,78590,10462,5062,71349,91756,321912,611013
arezzo,4536,2501,16058,14572,44952,37668,52506,52247,28070,23967,36952,38808,5098,2401,38829,48235,149193,298207
rieti,1437,791,7265,6582,18339,13642,23898,22992,12402,9472,17397,17754,1959,1085,18089,21556,59127,135533
frosinone,4487,2220,23845,21291,59902,40154,78519,76248,36310,23438,51614,54530,4456,2730,50652,61878,173697,418577
vibo valentia,1464,669,9105,8007,15716,10834,24895,24476,10324,7055,16314,17202,1612,709,15940,18611,48383,134550
biella,2007,1296,7880,7262,20799,18168,24459,24186,14691,12420,20227,20834,2115,986,21779,29114,72482,155741
bologna,12373,7273,46496,42555,141916,122661,163682,164349,84895,77591,108875,116225,14672,7485,107864,142522,468866,892568
isernia,772,372,3970,3501,9877,6707,13550,12576,6366,4474,9389,9559,940,510,9519,11850,30018,73914
treviso,14117,8930,46608,42595,122257,97230,138810,136381,77574,57164,100038,100412,12989,5735,87396,110489,395996,762729
imperia,2241,1345,9686,8731,22512,17962,30043,29477,16864,13853,24262,25281,2987,1716,25337,33716,79480,186533
palermo,8858,4378,68777,64428,120510,73271,195428,199810,79895,47167,124988,136387,11038,5457,113005,146271,350574,1049094
agrigento,3799,1567,25124,23017,42288,24351,66891,66719,28259,16260,43881,47587,4487,2193,41715,53402,123204,368336
pisa,4376,2506,19422,17525,55846,45665,67479,66263,34304,28909,44673,46732,5925,3340,44848,58092,180871,365034
latina,6021,3285,29163,26401,71420,49357,95980,92087,41938,28199,59763,62856,6686,3112,54550,66432,210018,487232
teramo,3162,1699,15013,13731,37892,28703,49053,48363,24471,17819,33827,35237,3693,1786,31684,39668,119225,266576
vercelli,2159,1272,7774,6986,21111,17024,25082,24060,14248,12019,19745,20154,2102,1012,19933,26521,70947,150255
lodi,3301,2020,11069,10455,33383,26475,37724,36231,19768,14412,25686,25346,2423,960,21743,27970,102742,196224
roma,36630,22413,205515,189709,522756,436507,686692,706308,339292,288731,462378,508339,49444,29387,392883,535411,1725160,3687235
campobasso,2018,829,11227,10150,25530,17194,34545,32926,17708,12196,24445,25220,2953,1539,23912,30606,79967,193031
potenza,3407,1510,18930,17013,42570,27684,57329,55503,29965,20611,41117,42392,4303,2145,37564,47520,132195,317368
sassari,3749,2262,22636,20518,55010,43226,80530,77832,36336,28451,56158,57754,5672,3042,50611,62655,177748,428694
lecco,5201,2921,17012,15879,46674,36831,52042,49761,28703,21008,37912,37678,4174,1646,35540,44802,147158,290626
terni,2072,1137,10164,9217,26519,20914,32914,33319,17483,14404,24287,26313,2822,1755,26981,35078,87106,198273
piacenza,4196,2605,13570,12211,39023,31267,44792,43316,24936,20106,32366,32457,4644,2115,31239,40580,128892,250531
ravenna,4941,2755,17940,16148,49832,41974,58636,58868,33261,27874,43939,44936,6486,2770,43273,56031,169893,339771
lucca,3944,2278,17572,16057,47431,37533,57551,57839,32628,25592,43447,45775,5827,2978,43235,55990,158211,337466
crotone,1602,732,10155,9150,17298,11425,28778,26817,10677,6598,17098,17921,1601,741,15490,18935,50674,144344
venezia,11935,7513,40844,37334,110947,88536,128362,127070,75612,57727,97974,102849,10796,5352,91986,119503,368418,745922
siracusa,3401,1614,21070,19412,41577,23920,64563,63493,26361,15442,41195,42867,3883,1849,38059,46860,118047,337519
udine,6288,3848,23953,22167,67680,55925,78421,77313,45839,37534,60778,62401,7023,3899,61300,79509,228036,465842
firenze,12009,7515,47619,43367,127364,113622,150427,155044,83943,74429,106660,114233,15246,8113,109345,145837,442241,872532
padova,13351,8133,45934,42459,129378,105148,147695,146291,83181,63374,106983,109779,14291,6399,93335,120428,423255,812904
salerno,11040,5873,60416,55769,125106,78436,178617,176565,80786,49295,116207,123939,12042,5447,100589,126544,368025,938646
vicenza,15512,9862,45771,42623,121241,95035,135901,131613,74982,54694,97911,96234,10789,4523,83750,106857,386638,740660
caserta,9611,5110,56052,52530,106254,63637,156848,157471,61257,34279,93943,98974,7375,3375,71863,91819,290898,779500
macerata,3752,2249,14927,13674,40243,33355,48110,47619,25518,20889,33528,34827,5546,2603,34711,44641,134155,272037
ferrara,3627,2301,14161,12961,42474,35376,50709,49784,30639,25683,40207,42179,5425,2709,41840,55508,148234,307349
foggia,6611,3154,36266,33515,65912,40081,97967,95518,43071,24595,63088,66691,8353,4082,58673,73736,195859,525454
oristano,1113,667,6913,6299,16934,12687,24422,22937,11809,8905,18217,18758,1855,852,18807,23233,54822,139586
parma,6205,3719,21414,19329,65446,53570,75184,73740,38936,32644,48895,50396,7280,3494,46141,60000,211294,395099
caltanissetta,2600,974,15460,14389,26297,14082,40494,40663,17476,9613,26447,29180,2361,1106,23833,31181,74509,221647
genova,8841,4824,37317,33731,97595,80175,115945,116076,71090,60355,93277,99952,11080,6404,100619,138605,340364,735522
la spezia,2293,1334,9509,8810,27351,20689,32158,31286,18948,15106,25263,26088,2715,1716,25754,34277,90152,193145
brindisi,4057,2282,20354,19060,43747,29386,61819,61739,27240,17078,40792,44360,4393,1800,39051,50886,129983,338061
fermo,2022,1147,8486,7670,21365,17633,26372,26264,14272,11388,19021,19843,3204,1478,19314,24150,72509,151120
varese,11381,7244,42727,39924,117764,93847,139518,136996,70528,55335,96877,99758,9059,4278,91525,120139,369436,767464
taranto,5461,2962,30425,28469,64889,39664,89485,89799,38130,22590,58430,63941,5793,2689,58097,73002,182178,491648
pavia,6653,3940,24917,22599,73601,58206,86475,82953,46557,36617,62172,62255,6465,2991,57119,76359,235030,474849
cuneo,10672,6706,29901,27353,80572,66307,90942,88033,49118,39886,64734,64802,9639,3908,64014,79113,266808,508892
nuoro,1725,931,10211,9267,22069,16630,32310,30276,15448,12439,24043,24245,2220,1322,22245,28991,72784,181588
pistoia,3347,1993,13458,12481,37786,31283,44467,45243,24221,19479,31989,33725,4291,2158,32361,42010,124558,255734
